content,score,Target_type,target_type
ok saja,3,1,1
loading nya lama sekali,1,0,0
aplikasi ini loading lamaa sekali padahal jaring saya baik saja saat buka aplikasi lain,1,0,0
bagussss,5,1,1
aplikasi sangat guna elemen sama template nya juga pada bagus tetapi hanya saja aplikasi lot sekali jadi susah mau ngedit ngedit,3,1,1
aplikasi nya bagus,5,1,1
sangat bagus,5,1,1
bagus tetapi kalau lagi buat kadang ada yang ngeblenk,4,1,1
saya suka canva,5,1,1
ihhh suka sangat saya sama aplikasi ini,5,1,1
sangat bantu apabila ada tugas sekolah dan bantu saya juga dalam edit foto juga banyak templat templat yang tarik,5,1,1
sorry min bintang karena video yang saya capai capai buat dari canva tidak bisa di download,2,0,0
mudah sekali kalau mau design sesuatu tetapi lambat sekali anjinggg tidak cocok buat orang yang sabar setip tisu bisa tidak sih di baru lagi biar tidak lot sangat begitu,2,0,0
bagus sih tetapi banyak sekali template yang hanya bisa guna dengan premium jadi kurang muas,4,1,1
sangat manfaat,5,1,1
ok,5,1,1
keren,4,1,1
mantap saja,5,1,1
thebest,5,1,1
good,5,1,1
pokok keren,5,1,1
good like,5,1,1
dupserter,5,1,1
pas mau masuk ke room edit malah closed,2,0,0
good,5,1,1
bagus,5,1,1
untuk ukur khusus custom tulis size cuma tidak bisa di klik posisi terlalu pojok bawah tolong baik,1,0,0
mantap,5,1,1
bagus tetapi suka lama ngebuka nya,3,1,1
baguss sangat aplikasi nya mudah buat edit,5,1,1
canfa the best aplikasi design,1,0,0
keren luar biasaa terima kasih canva baru pertama bikin benar kalau buah ajaib,5,1,1
plikasi bikin poster baik,5,1,1
sangat baik,5,1,1
sangat bantu,5,1,1
aplikasi tidak jls untuk edit lambat sekali buat kesal saja padahal jaring bagus tetapi tetap saja lambat ck,1,0,0
bagusss,5,1,1
bagus tetapi turut saya apakah nya di naikin lagi ya kak kualitas nya,3,1,1
bagus,5,1,1
apakah ini bagus sekali bisa ngebantu ngedit ngedit tugas sekolah atau konten apa tetapi kadang suka ngelag padahal jaring baguss kenapaa ya tanya,3,1,1
bagusss sekali sumpah,4,1,1
sudah dowload canva berapa kali tetap hasipnya nihil tidak ada yang benar semua baik kalau mau ratting nya bagus masih tetap ah ni yah sudah saya dowload ulang tetapi henti terus apa yang salah sih,1,0,0
mantab kali,5,1,1
keren sekali gan,5,1,1
bagus,4,1,1
wow desain nya sangat estetik,5,1,1
mantap,5,1,1
aplikasi tidak jelas apa saja pro harus bayar terus pas sudah bayar bikin bagan sering nge freeze padahal saya ip aneh,1,0,0
bantu dalam edit tiap giat utama media sosial,5,1,1
mungkin di sini saya harus kembang bakat saya heheheh,5,1,1
sangat bantu,5,1,1
bagus bantu buat tugas,5,1,1
baik,5,1,1
mantap,5,1,1
bagus,5,1,1
baru pertama kali coba senang,5,1,1
bantu,5,1,1
ini sangat bagus dan mudah di guna,5,1,1
kualitas burik,1,0,0
bagus sekali dan sangat bantu untuk edit dengan banyak nya template mudah saya,5,1,1
fitur edit lengkap bagus juga buat bikin konten atau untuk tugas kampus,5,1,1
awesome,5,1,1
lumayan bagus,4,1,1
aplikasi sangat muas,5,1,1
luar biasa,5,1,1
bagus dan bantu,5,1,1
suka sekali foto bisa langsung dijadiin pdf bagus buat saya yang males ngedit lagi hehehehehehehheheh suka sekali pokok terus fiturnya lengkap bgtt suka terima kasih canvaaaaaaww,5,1,1
keren,1,0,0
agak susah yhh bun,5,1,1
puas aplikasi desain baik,5,1,1
recommended seru seru,5,1,1
lmott padahal wifinya lncar,2,0,0
baik,4,1,1
aplikasi ini sangat bagus,5,1,1
adzkia nur safitri,5,1,1
sangatbmenba,5,1,1
masih di ajar karena baru pakai,5,1,1
sangat bagus dan tidak ada iklan,5,1,1
bagus sangat mudah,5,1,1
cool,5,1,1
pelit,5,1,1
,5,1,1
mudah dan cerdas,5,1,1
bagus mudah,5,1,1
kecewa apakah nya sering lot padahal jaring bagus,2,0,0
sangat bantu kerja,5,1,1
memang ajib saya puas guna aplikasi canva,5,1,1
simpel dan praktis saya suka apakah nya,5,1,1
sumpah ini app bantu sekali buat poster dakwah,5,1,1
app yang sangat bantu,5,1,1
sangat bagus,5,1,1
good job mantul aplikasi ini super super bagus,5,1,1
mohon maaf ini kenapa canva tiba tiba jadi burem yaa tanya mohon baik,2,0,0
jaring internet full tetapi aplikasi seperti berat sekali loading nya lama,1,0,0
ngeleg,4,1,1
bagus,5,1,1
bagus,5,1,1
bagusss trusss muas bisa bantu saya dalam kerja eja sekolah,5,1,1
bagus sih tetapi tidak bisa di instal,4,1,1
kok tidak bisa dibukak kenapa ya kak,3,1,1
saya baru pernah ikut aplikasi ini,5,1,1
sangat bagus buat gedit,5,1,1
lot sangat tidak di windows tidak di hp nang bangettt rasa pas ngedit di canva hp ken sekali saya bantingg arghhhh canvaa ayo kasih saya iphone biar tidak rasa betapa sangat amat amat lot aplikasi kamu ini,2,0,0
bantu bangettt,5,1,1
ok,5,1,1
aplikasi sangat bantu dari buat disaener hal pribadi dan yang lain pokok bagus sangat deh ngebantu saya buat kreasi juga terima kasih canva,5,1,1
bagus sekali tetapi agak ngelag,3,1,1
bagus sekali inti yang mau buat apa saja di sini ada,5,1,1
kenapa pas ngedit tidak muncul fitur fiturnya ya tanya padhl koneksi saya bagus dan saya ulang terus tetapi tetap sama mohon bantu,4,1,1
sangat bagus saya suka,5,1,1
bagus sekali apakah nya,4,1,1
mantab,5,1,1
ok,4,1,1
keren,5,1,1
editing yang kelas,5,1,1
oke sekali,5,1,1
bagus,5,1,1
sangat bagus dan pakai buat yang di perlu,5,1,1
jelek,5,1,1
loading lama,4,1,1
baik,5,1,1
aplikasi apa game yang bwrat saja lancar jaya jaring tetapi bukak aplikasi ni kek babi,1,0,0
kereeen sangat mudah guna nya terima kasih canva,5,1,1
aplikasi bagus mudah kerja saya,5,1,1
suka sekali,4,1,1
baguss,4,1,1
keren,5,1,1
ups,5,1,1
bagus,5,1,1
i am very happy when trying and feeling how canva is developing nowadays especially in the ai aspect of itu if you could please improve the quality of the ai process for example on the image expansion feature which is still a little blurry when adding for multiple layers over and over again thank you,5,1,1
bagus sangat buat mula bagus,5,1,1
aplikasi yang sangat bantu bintang,5,1,1
mirip master,5,1,1
canva bagus buat ngedit tugas saya sering pakai kalau butuh,5,1,1
mantap aplikasi yang bagus buat edit foto dan vidio,5,1,1
mantap sekali,5,1,1
keren,5,1,1
hasil bagus dan tidak ribet popok sat set sat set selesai,5,1,1
bagus banyak fitur yang mudah kita bagai mula,4,1,1
good job,5,1,1
bagus,4,1,1
keren,1,0,0
sangat butuh untuk para siswa kesan sekali,5,1,1
googd,4,1,1
overall saya sukak sihh sama canva karena ya buat edit fto feeds ig kelas jadi gampang buat logo kelas jadi gampang dan buat edit fto gampang pokoknyaaaaa lopp buat canvaa,5,1,1
bagus,5,1,1
keren,5,1,1
bagu juga tengks,5,1,1
kerennn,5,1,1
sangat ok,4,1,1
mantap,5,1,1
masokkkk,5,1,1
keren,5,1,1
kenapa aplikasi canva nya suka stuck di loading screen dan tidak bisa masuk ke dalam aplikasi,3,1,1
good for all,5,1,1
template cv nya bagus bagus,5,1,1
aplikasi ini sangat guna dan manfaat utama bagi saya yang rupa orang ajar dapat bantu dalam selesai tugas tugas sekolah upa power point buat poster tidak hanya itu bahkan di aplikasi ini bisa edit video thank you,5,1,1
tolong bug nya di benerin suka stuck di loading screen,4,1,1
bagus sekali,5,1,1
bagusssss,5,1,1
good,5,1,1
bagussss,5,1,1
aplikasi yang wajib sekali untuk di instal karena fiturnya sangat manfaat sehingga tidak perlu bayar jasa editing karena bisa edit sendiri sesuai dengan ingin dan hasil juga langsung bisa guna tanpa harus tunggu lama templete yang di sedia juga sangat banyak dan agam,5,1,1
keren aplikasi,5,1,1
keren,4,1,1
tarik,3,1,1
canva sangat bantu saya dalam siap tugas logo dan kreatifitas untuk ig kelas saran saya banyak lagi tamplet nya,5,1,1
seruuu buat bikin tugas,5,1,1
sangat bantu untuk promosi,5,1,1
bisa di buat sarana ajar,5,1,1
mantap,5,1,1
saya bagai ajar rasa bantu sekali,5,1,1
sangat bantu,4,1,1
sangat batu sekali,5,1,1
bagus,4,1,1
sangat bantu tugas kami,5,1,1
bagus nih aplikasi,5,1,1
aplikasi ini sangat bantu dan mudah guna recommended,5,1,1
aplikasi sangat bantu saya dalam edit untuk perlu bisnis saya pilih thema sangat variatif,5,1,1
bagus sekali,4,1,1
sangat bagus,5,1,1
good,5,1,1
awal susah karena saya memang tidak ada basic desain tetapi bantu dengan semua desain yang ada di canva aplikasi nya keren cocok buat mula seperti saya,4,1,1
niam gante,5,1,1
mau ngedit saja ribet,1,0,0
canva selalu yang baik,1,0,0
aplikasi yang sangat manfaat sangat mudah guna,5,1,1
mudah,5,1,1
kalau mau pakai aplikasi susah sekali padahal mau ngedit hari itu juga tidak jadi,2,0,0
aplikasi desain baik bakat desain saya jadi bisa wujud berkat aplikasi ini terima kasih canva,5,1,1
saya sangat suka dengan aplikasi ini karena sangat bantu kerja saya baik dalam meng edit tugas saya atau buat tugas baru kurang turut saya saat saya guna powerpoint pada apl ini sering lelet saya harap pihak google dapat mengupgrade apl ini ke versi baru terima kasih,5,1,1
sangat bantu untuk mula yang masih gaptek karena dengan aplikasi ini kita mudah untuk buat video atau edit foto saran banyak menu yang mudah dan bisa buat video jadi sangat tarik,5,1,1
bagus,1,0,0
mantap,5,1,1
nice,5,1,1
sangat bantu dan juga beri mudah dalam sedia media untuk edit,5,1,1
mantap,5,1,1
sangat bagus dan bantu dalam buat tugs,1,0,0
coba lebih baik,5,1,1
sangat mudah guna,5,1,1
semua keren,5,1,1
senang,5,1,1
fleksibel untuk hp dan komputer bikin enak buat ngedit,5,1,1
bagus,5,1,1
suport,5,1,1
akun ajar id dan akun google tidak bisa log in saya habis waktu jam tetap tidak bisa aplikasi mirip rusak soal kalau pakai website canva masih aman plisss baik mepet nih tugas,1,0,0
baguss,5,1,1
tidak ada topik,5,1,1
bagus sekali,3,1,1
keren,5,1,1
sangat bagus aplikasi nya keren,4,1,1
gampang cara edit,5,1,1
good,5,1,1
tidak bisa buka aplikasi ini tolong ikan informasi supaya bisa di buka,2,0,0
aplikasi baik,5,1,1
terima kasih karena telah bantu kami,5,1,1
benar canfa ini aplikasi bagus tetapi kalau mau ngedit itu kertas kurang lebar,4,1,1
cukupp baik,5,1,1
top,5,1,1
mantap,5,1,1
kenapa saya tidak bisa masuk ke dalam canva padahal sudah masuk lewat email tetapi tetap tidak bisa masuk,2,0,0
kok aplikasi tidak bisa buka di hp ya tanya,1,0,0
bagusssssss bangetttttt,5,1,1
good,5,1,1
aplikasi bagus,5,1,1
bagus,5,1,1
aplikasi yang sangat meba,5,1,1
sangat keren,5,1,1
sangat puas,5,1,1
canva sangat lah anjinggg masa iya saya mau ngedit terus si canva nya muat ulang muat ulang terus habis itu gambar nya tidak muncul terus kalau lagi di tingl sebentar hp nya terus mati saja lnsung kembali dan harus mulai ulang siapa yang tidak kesal coba sudah ulang kali saya coba terus hampir tengah hariiii saya buka canvaa bagi adminnn mohon di baik seru seru seru seru seru saya tidak mau tauuu pokok nya kalau belum di baik saya akan tetap asih bintang kalau perlu gaush kasih bintang sama sekali,1,0,0
bagus,5,1,1
solusi digital untuk kreatif,4,1,1
sangat bantu dalam buat presentasi,4,1,1
mantap,5,1,1
perfek,5,1,1
terima kasih canva telah mudah saya kerja tugas,5,1,1
ok,5,1,1
sangat bagus,5,1,1
mantap sekali,5,1,1
badut sekali,5,1,1
ok,3,1,1
suka sekali sama aplikasi canva,5,1,1
saya masih coba dan ajar guna,4,1,1
app yang tarik n bagus,5,1,1
sangat cocok,5,1,1
sang baguu,4,1,1
baik,5,1,1
bagus mudah guna keren juga,5,1,1
sangat bagus,5,1,1
ok sekali sangat bantu,5,1,1
benar nya aplikasi sangat bagus tetapi sayang sekali sangat lambat padahal internet stabil tetapi canva ini lot sekali,3,1,1
aplikasi ini memang bagus tetapi kurang aplikasi ini adalah sering ngeleg dan suka lot,3,1,1
good,5,1,1
sangat cocok untuk mula dan seru,5,1,1
bagus deh,5,1,1
aplikasi ini sangat bantu,5,1,1
aplikasi bagus tolong tambah font eurostile interstate ke canva tetapi yang gratis ya jangan di pro,5,1,1
bagus,1,0,0
sangat bagus,1,0,0
template nya bagus,5,1,1
busuk apakah nya tetapi bohong bagusekali wajib coba dan donglod,1,0,0
bagus bangat saya suka sekali karena saya ajar edit dan lain lain,5,1,1
tanda apakah jelek buat saya,2,0,0
good sih baru sadar wkwkwk,5,1,1
sangkat bantu,1,0,0
,5,1,1
keren,5,1,1
apakah nya sangat jaring,2,0,0
very good,5,1,1
