content,score
bagus bisa edit fto/video cmn klo elemen mau yg lbih bagus harus pake canva pro yaitu harus bayar... ya pokok the best tpi sedikit susah untuk bikin ky poster pelajaran/dagangan... jdi sy hanya bisa mengasih bintang 4 saja dlu.. 🙏,4
👍🏻,5
"bug nya semakin banyak bikin kesel aja waktu ngedit. kurang nyaman kayak lag oading lama banget refresh berkali-kali masih problem aja. sinyal banyak, dan ruang penyimpanan juga masih banyak kosong nya. tolong diperbaiki secepatnya, karna menurut saya canva aplikasi yang sangat membantu perdesain-an:)",4
bagus,5
baguss,5
tks canva,5
mantap bingitsz,5
apk nya sangat bagus sekali,5
terbaik,5
keren bagus aplk nya,2
baik,5
Kalian wajib download karana fitur nya bagus terima kasih aku jadi suka trimakasih banyak sudah ada fitur fitur lain,5
Bagus,4
aplikasi yg bgus,5
MANTAP,5
ini cocok buat orang gambar sihh pokoknya bagus bgt dehhh,5
sangat membantu ketika membuat tugas mendesain👏👏,5
sangat mudah digunakan,5
bagussssss,5
Tolong di perbaiki lagi saat untuk login ke akun belajar.id terkadang situsnya error,1
sangat bgus,1
sangat bagus,5
rekomendasi banget karena udah komplit semuanya,5
Salah satu aplikasi yang sangat bagus dan cocok bagi desainer,5
Berguna banget aplikasi ini,4
Bagus banget,5
bagus,5
sangat membantu untuk berkreasi,5
mantap bangat,5
this is so good to use!!,5
bagus sekali,5
bagus,5
"Sudah lama menggunalan aplikasi canva, tetapi minggu ini tidak bisa masuk, mohon pencerahannya min",5
sangat membantu,4
Sangat bagus,5
Canva sangat membantu saya dalam membuat vidio pembelajaran,5
bagus,4
"aplikasi bagus banget, cocok untuk berlatih bikin logo, bintang 5 sih",5
bagus,5
mudah penggunaannya,5
sangat bagus,5
kereeeee,5
Aplikasi ini bagus sekali untuk pelajar seperti saya.,5
"Aplikasi sangat bagus sampai sampai saya membuka aplikasi nya pun muter terus padahal sinyal bgus, sangat bgus sekali ,",1
"Krng bagus ketika ingin login membuat akun berkali² mncb tetap salah.Pdhl cara,tlsn email dan password sdh benar semua,tapi tetap tidak bisa membuat akun.There's still plenty of cellphone memory.Still can't. Dulu sebelum nya juga sudah punya, sengaja aja di hapus and also orang² bilang this application juga banyak banget iklan,walaupun tidak gratis,tidak pantas juga seperti itu Please fix it immediately and dipermudah untuk membuat akun nya, Kasian yg lain g makai hp iphone jadi susah+ribet bet.",1
bagus,4
Sangat apresiatif utk canva krn super duper keren dan kreatif dg desain yg menarik dan kaya varian templet..... Banyak digunakan dalam segala aktivitas dan momen👍,5
bagus hasilnya,3
mantapz,4
"baik, bagus, berguna, asik mantap",5
Sangatlah bagus cocok untuk buat poster dan mengedit foto terima kasih canva,5
mantap,5
goodddðd,5
sangat membantu,5
"terima kasih, App nya sangat bagus",5
Fiturnya sangat lengkap dan sangat memudahkan pengguna yang baru belajar desain,5
saya sangat puasss,5
bagus,5
ngeleg,1
sangat bagus,5
Sangat bagus canva,5
Sangat membantu dan mudah digunakan,5
Saya suka,5
Sejak ada aplikasi ini tugas saya semakin bertambah,1
ok,4
"over all good, mungkin di tambah lagi stiker lucunya dan aesthetic nya.. thanks ....",5
excited...luv❤️❤️❤️,5
ok,5
oke,5
bagus bgttt,5
bagus untuk pembelajaran mengedit,4
Smart People.. Always have a Good choose,5
Ssngat maembantu,5
karena ga mirip sama microsoft,1
the best,5
baguus,5
good,5
bagus dana keren,5
Bro ini bagus Loch,5
saya suka sekali canva,5
aplikasinya bagus,5
puas,3
nice,5
ytta,4
"keren, cara termudah membuat brbagai macam spanduk dan bahan ajar",5
kerren,5
bagus,5
Sangat membantu,5
bagus,5
sangat bagus,5
Nganuu......,2
keren,5
aplikasi sangat membantu sekali .. sukses trus Canva 👍👍,5
sejauh ini masih bagusss,4
aplikasi nya bagus dan mudah digunakan,5
Bagus,5
bagus,5
sangat membantu dalam membuat konten,5
"Sudah 3 tahun terakhir menggunakan canva Ok banget sih, buat edit foto, video, tugas, membuat media pembelajaran, dan lainnya. Fiturnya OK semua👍👍👏",5
"aplikasinya bagus dan sangat berguna untuk saya Karena bisa membuat poster atau apapun itu yang menarik, tapi tolong di perbaiki soalnya kalau misalnya kita taruh hp kita nnti dokumen nya hilang 🙏",4
Mudah dan praktis untuk membuat presentasi,5
Keren,5
"sangat bagus,dan sangat membantu terimakasih canva",5
"Maaf berkata kasar min, karena saldo tiba² hilang aj, bikin panik 😅",5
mudah dan profesional,5
lumayan membantu,5
Hei canva bisa gak kembaliin pulsa saya? Tanpa ada persetujuan untuk perpanjangan main potong2 pulsa orang ajh siij 😭😭😭,1
bagus,5
sejauh ini paling jos,5
mantap,5
matapp,4
bagusss puollllllllllllll,5
bagus,5
bagus,5
mantap,5
bagus,5
meringan kan bebas skali,5
mntep,5
sangat baik,5
oke,5
"Aplikasi yang bagus, direkomendasikan 👍",5
emang jempolan ya... thank yak,5
bagus bangetttt.. wauuuu emezing...,5
bagus,5
bagus sekali,5
bagis,5
bagus sekali,4
ok,5
bagus,4
mantull aplikasi'y,4
Baik dan mudak pengerjaannya,5
kenapa sih sering banget lemot saat membuka elemen dll nya tolong lah padahal jaringan lancar bangett pas di canva kenapa jdi ngelagggg,3
Saya tidak bisa login canva menggunakan akun belajar id padahal semua nya sudah benar,2
Sangat membantu,5
"sangat membantu,kalo bisa semua gratiss",5
best app to design,5
sangat puas dn sangt terbantu,4
Bagus,1
"karena saat aku mau mengedit tampilan elemen nya ga muncul, pdhl jaringan wifi baik"" aja. PERBAIKI YA CANVAA 💋💋",4
keren aplikasi nya,4
Good This is because I can make work faster,5
Setiap kali mau buat disain loding lama banget,1
baik,5
Mantapp jiwa,5
"Sebetulnya bagus, tapi kalau mau ngedit kadang lemot",3
"kereen, desain yang berguna untuk brbagai macam tujuan",5
keren dan praktis,3
"Bagus, tapi sangat sering crash (error) padahal sy pengguna yg berbayar, sy kembalikan bintang 5 klu sdh diperbaiki.",2
"Aplikasi, canva sangat memudahkan, para desainer, dan anak anak muda yang ber foto geafel, bisa mencari uang, dan sayang sangat senang, ada aplikasi ini. Puas......",5
sangat membantu,5
Error,1
baguss aplikasi nyaa,5
Harus,5
luar biasa,5
bagus,5
Aplikasinya Sangat bagussss🥰,5
lopeeeee,3
bagus dan elegan,5
"kerenn, ig kls ku jdi kecehh pake apk iniii",5
sangat membantu,4
bagus,4
bagusss,5
sangat recommend,5
cakep,5
aplikasi jos,5
"Baguss tapi kalau di akun saya gak bisa buat canva pelajar , padahalll sya pelajar",3
terlalu lama proses save filenya,2
terbaik,5
sangat membantu,5
Sangat membantu,5
"Beberapa waktu tidak saya buka dengan akun belajar.id Tiba"" logout sendiri dan ga bisa login lagi dengan email apapun...aplikasi force close terus",1
ada gratis nya,5
cukup membantu,4
ziarah,1
good,5
oke,5
sangat bagus,5
aplikasi juara,5
Gak bisa masuk aneh ni apk padahal sinyal bagus bagus aja,1
good,5
"bagus sekali,semua fitur lengkap dan bagus,saya menyukainya!!",5
"aplikasinya terkadang lag, tapi ada banyak berbagai kreativitas didalam aplikasinya, jadi menurut saya tidak buruk juga",3
"canva bagus si sebenernya tapi loading nya kelamaan, padhall sinyal juga kenceng tapi sayang lama banget kalo mau buka fiturnya gitu jadi males apalgi klo uda buat nugas sering banget ke gitu kelamaan tolong ya di perbaiki lagi.",3
Aplikasi yg sangat membantu di semua aspek pekerjaan😇,5
Ok aj,3
Loading nya lama banget,1
"Aplikasi ini loading lamaa sekali padahal jaringan saya baik"" saja saat membuka aplikasi lain.",1
bagussss,5
aplikasi sangat berguna elemen sama template nya juga pada bagus tapi hanya saja aplikasinya lemot banget jadi susah mau ngedit ngedit,3
aplikasi nya bagus 👍,5
sangat Bagus,5
"Bagus,,tetapi kalau lagi buat kadang ada yang ngeblenk",4
saya suka canva,5
Ihhh suka bgt aku sama aplikasi ini,5
"sangat membantu apabila ada tugas sekolah,dan membantu saya juga dalam mengedit foto,juga banyak templat templat yang menarik.",5
"Sorry min, bintang 2 karena video yang gw capek capek buat dri canva ga bisa di download",2
Mudah banget kalo mau design sesuatu tp lambat banget anjinggg ga cocok buat orang yang kesabaran setipis tisu 👊🏻👊🏻👊🏻 bisa ga sih di perbarui lagi biar ga lemot bgt gt,2
"bagus sih, tetapi banyak sekali template yg hanya bisa digunakan dengan premium jadi kurang memuaskan",4
sangat bermanfaat,5
ok,5
keren,4
mantap aja,5
thebest,5
good,5
Pokonya keren,5
good like,5
Dupserter,5
Pas Mau masuk ke room edit malah Closed ...,2
good,5
bagus,5
"Untuk ukuran khusus/ custom. Tulisan size cm tidak bisa di klik, posisi terlalu dipojok bawah. Tolong diperbaiki...",1
mantap,5
bagus tapi suka lama ngebuka nya,3
Baguss bgt aplikasi nya memudahkan buat edit,5
Canfa The Best Aplikasi Design,1
keren... luar biasaa... trima kasih Canva... baru pertama bikin... bener klu sebuah keajaiban...🤩😎,5
plikasi bikin poster terbaik,5
sangat baik,5
sangat membantu,5
Aplikasi ga jls untuk mengedit Lambat sekali buat kesal saja Pdhl jaringan bagus TPI ttp saja lambat ck,1
bagusss,5
Bagus tapi menurut saya apk nya di naikin lagi ya kak kualitas nya,3
bagus,5
"apk ini bagus banget bisa ngebantu ngedit ngedit tugas sekolah atau konten apapun, tapi kadang suka ngelag padahal jaringan baguss, kenapaa ya? :(",3
Bagusss banget sumpah,4
Udah dowload canva berapa kali tetap hasipnya nihil ga ada yang bener semua perbaiki kalau mau ratting nya bagus masih tetep ah ni yah udah aku dowload ulang tpi terhenti mulu apanya yang salah sih😭😭,1
mantab kali,5
keren banget gan,5
Bagus,4
wow desain nya sangat estetik,5
mantap,5
"Aplikasi tidak jelas, apa aja pro harus bayar, terus pas udah bayar bikin bagan sering nge freeze padahal saya ip 14 aneh.",1
Membantu dalam pengeditan setiap kegiatan terutama media sosial.,5
Mungkin di sini aku harus mengembangkan bakat ku heheheh....😎🤟,5
sangat membantu,5
Bagus membantu buat tugas,5
Terbaik 🔥,5
mantap,5
bagus,5
baru pertama kali coba .. menyenangkan,5
membantu,5
Ini sangat bagus dan mudah di gunakan,5
kualitas burik,1
"Bagus banget, dan sangat membantu untuk mengedit dengan banyak nya template memudahkan saya.",5
"Fitur editnya lengkap, bgus juga buat bikin konten atau untuk tugas kampus",5
Awesome,5
lumayan bagus,4
aplikasi sangat memuaskan..,5
luar biasa,5
bagus dan membantu,5
"Suka banget, fotonya bisa langsung dijadiin pdf bagus buat ak yang males ngedit lagii hehehehehehehheheh suka banget pokoknya. Terus fiturnya lengkap bgtt, suka terimakasih canvaaaaaaww",5
keren,1
agak susah yhh bun🤗,5
puas aplikasi desain terbaik,5
Recommended!!,5
Lmott padahal wifinya lncar,2
terbaik,4
aplikasi ini sangat bagus,5
Adzkia nur Safitri,5
sangatbmenba,5
masih di pelajari karna baru pake,5
sangat bagus dan tidak ada iklan,5
"bagus,sangat mudah.",5
cool,5
Pelit,5
👍,5
mudah dan cerdas,5
bagus memudahkan,5
mengecewakan..apk nya sering lemot pdahal jaringan bagus,2
sangat membantu pekerjaan,5
memang ajib ...saya puas menggunakan aplikasi canva♥️♥️♥️♥️🫰🫰🫰🫰,5
simpel dan praktis saya suka apk nya,5
sumpah ini app bantu banget buat poster dakwah,5
app yg sangat membantu,5
sangat bagus,5
GOOD JOB. MANTUL APLIKASI INI SUPER SUPER BAGUS.....,5
Mohon maaf ini kenapa canva tiba-tiba jadi burem yaa? Mohon diperbaiki,2
"Jaringan internet full,tapi aplikasi seperti berat sekali, loading nya lama",1
Ngeleg,4
bagus,5
bgus,5
BAGUSSS TRUSSS MEMUASKAN BISA MEMBANTU AKU DALAM MENGERJAKAN PEKEEJAAN SEKOLAH💗💗💗💗,5
Bagus sih tapi gak bisa di instal,4
kok gak bisa dibukak knp ya kak,3
saya baru pernah mengikuti aplikasi ini,5
Sangat bagus buat gedit,5
lemot bangett😭 ga di windows ga di hp😭 nangis bangettt rasanya pas ngedit di canva hp pengen banget ku bantingg arghhhh😭😭😭 canvaa ayo kasih aku iphone biar tidak merasakan betapa sangat amat teramat lemotnya aplikasi kamu ini😭😭😭😭😭,2
Bantu bangettt,5
ok,5
aplikasinya sangat membantu dari membuat disaener hal pribadi dan yg lainnya pokonya bagus bngt deh ngebantu aku buat berkreasi juga makasii canva,5
bagus banget tapi rada ngelag,3
bagus banget intinya yg mau buat apa aja di sini ada,5
knpa pas ngedit ngk muncul fitur fiturnya ya? padhl koneksi saya bagus dn saya ulangi trus tapi tetap sama. mohon bantuannya,4
Sangat bagus aku suka,5
Bagus banget apk nya,4
mantab,5
ok,4
Keren,5
Editing yang berkelas,5
oke banget,5
bagus,5
sangat bagus dan terpakai buat yg di perlukan,5
Jelek,5
loading lama,4
baik,5
"Aplikasi apaan ,,game yg bwrat aja lancar jaya jaringan ,,,tapi bukak aplikasi ni kek babi",1
"kereeen,sangat mudah menggunakan nya ,trims Canva",5
"Aplikasinya bagus, memudahkan kinerja saya",5
Suka sekali,4
baguss,4
keren,5
ups,5
bagus,5
"I am very happy when trying and feeling how Canva is developing nowadays, especially in the AI aspect of it. If you could please improve the quality of the AI process, for example on the 'image expansion' feature which is still a little blurry when adding for multiple layers over and over again.⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Thank you.",5
"bagus bgt, buat pemula bagus",5
aplikasi yang sangat membantu bintang 5,5
mirip kinemaster,5
Canva bagus buat ngedit tugas² aku sering pake kalo butuh,5
"Mantap, aplikasi yg bagus buat edit2 foto dan vidio",5
mantap sekali,5
keren,5
hasilnya bagus dan tidak ribet popoknya sat set sat set selesai,5
bagus byk fitur yg mempermudah kita sbgai pemula....,4
good job,5
bagus,4
keren,1
"sangat dibutuhkan untuk para siswa, mengesankan sekali",5
googd,4
"Overall aku sukak sihh sama canva karena ya buat edit fto feeds ig kelas jadi gampang,buat logo kelas jdi gampang dan buat edit fto gampang pokoknyaaaaa lopp buat canvaa",5
bagus,5
keren,5
Bagu juga tengks,5
kerennn,5
sangat Ok,4
mantap,5
masokkkk,5
keren,5
Kenapa aplikasi canva nya suka stuck di loading screen dan tidak bisa masuk ke dalam aplikasinya.,3
good for all,5
template CV nya bagus bagus,5
"aplikasi ini sangat berguna dan bermanfaat, terutama bagi saya yang merupakan seorang pelajar, dapat membantu dalam menyelesaikan tugas tugas sekolah berupa power point, membuat poster, tidak hanya itu bahkan di aplikasi ini bisa mengedit video, thank you🔥",5
Tolong bug nya di benerin suka stuck di loading screen,4
Bagus banget,5
bagusssss,5
good,5
bagussss,5
"Aplikasi yg wajib banget untuk di instal, krn fiturnya sgt bermanfaat, sehingga tdk perlu membayar jasa editing krn bsa edit sendiri sesuai dgn keinginan, dan hasilnya jg langsung bsa digunakan tanpa harus menunggu lama. Templete yg di sediakan jg sgt bnyak dan beragam.",5
Keren aplikasinya,5
keren,4
menarik,3
"canva sangat membantu saya dalam menyiapkan tugas,logo,dan kreatifitas untuk ig kelas saran saya perbanyak lagi tamplet nya 🤗",5
seruuu buat bikin tugas,5
Sangat membantu untuk promosi,5
Bisa di buat sarana pembelajaran,5
Mantap,5
aku sebagai pelajaran merasa terbantu banget,5
sangat membantu,4
sangat membatu sekali😍,5
bgus,4
sangat membantu tugas kami,5
Bagus nih aplikasinya,5
Aplikasi ini sangat membantu dan mudah digunakan. Recommended,5
Aplikasinya sangat membantu saya dalam mengedit untuk keperluan bisnis saya..pilihan thema sangat variatif,5
bagus banget,4
sangat bagus,5
good,5
awalnya susah karena aku emang nggak ada basic desain tapi terbantu dengan semua desain yang ada di canva... aplikasi nya keren cocok buat pemula seperti aku,4
Niam gante,5
mau ngedit aja ribet,1
Canva selalu yg terbaik,1
"Aplikasi yang sangat bermanfaat,,, sangat mudah digunakan",5
mudah,5
Kalo mau pake aplikasinya susah banget padahal mau ngedit hari itu juga gk jadi😥😥😭😭,2
Aplikasi desain terbaik..bakat desain saya jadi bisa terwujud berkat aplikasi ini.terima kasih Canva 🥰👍👍,5
"Saya sangat suka dengan aplikasi ini karena sangat membantu pekerjaan saya baik dalam meng- edit tugas saya ataupun membuat tugas baru. Kekurangannya menurut saya saat saya menggunakan PowerPoint pada apl ini sering lelet, saya harap pihak google dapat mengupgrade apl ini ke versi terbaru, Terima kasih",5
"Sangat membantu untuk pemula yg masih gaptek, karena dengan aplikasi ini kita dipermudah untuk membuat video ataupun edit 2 foto, saran diperbanyak menu2 yg mudah dan bisa buat video jadi sangat menarik",5
bagus,1
mantap,5
nice,5
"sangat membantu, dan juga memberikan kemudahan dalam menyediakan media untuk mengedit",5
mantap,5
sangat bagus dan membantu dalam pembuatan tugs 👍,1
coba lebih baik,5
sangat mudah digunakan,5
semua keren,5
Menyenangkan😊,5
fleksibel utk hp dan komputer bikin enak buat ngedit,5
bagus,5
Suport,5
"Akun belajar.id dan akun google tidak bisa log in, saya habiskan waktu berjam2 tetap tidak bisa. Aplikasinya kayaknya rusak soalnya kalo pake website canva masih aman, plisss diperbaiki mepet nih tugas",1
baguss,5
gak ada topik,5
bagus sekali,3
keren,5
"sangat bagus aplikasi nya, kerennya✨👍",4
gampang cara editnya,5
good,5
Ga bisa buka aplikasi ini Tolong berikan informasi spaya bisa di buka🙏,2
aplikasi terbaik,5
terimakasih karena telah membantu kami,5
Sebenarnya canfa ini aplikasinya bagus Tetapi kalau mau ngedit itu kertasnya kurang lebar,4
cukupp baik,5
top,5
mantap...,5
"Kenapa saya tidak bisa masuk ke dalam canva, padahal udh masuk lewat email tapi tetap gk bisa masuk",2
Kok aplikasinya gak bisa dibuka di hp ya ?,1
bagusssssss bangetttttt,5
good,5
aplikasi bagus,5
bagus,5
aplikasi yang sangat meba,5
sangat keren,5
sangat puas,5
"Canva sangat lah anjinggg masa iya aku mau ngedit trs si canva nya muat ulang muat ulang trs ,abis tu gmbr nya ga muncul² ,trs klo lg d tingl sbntr hp ny trs mati aj lnsung kembali dan hrs mulai ulang ,siapa yg ga kesel coba udh berulang kali ak mencoba terus hampir setengah hariiii aku buka canvaa ,,bagi adminnn mohon di perbaiki !!!!! Saya tidak mau tauuu pokok nya kalo belum di perbaiki saya akan tetap mengasih bintang 1 kalo perlu gaush kasih bintang sama sekalii😡😏😏🤬😤🖕🖕🐶🐶🐖🐽🐷",1
bagus,5
solusi digital untuk kreatif,4
sangat membantu dalam membuat presentasi,4
mantap ❤️,5
perfek,5
terimakasih canva telah memudahkan saya mengerjakan tugas,5
ok,5
sangat bagus,5
mantap banget 💕💕,5
badut banget❤️,5
ok,3
suka banget sama aplikasi canva,5
saya masih mencoba dan belajar menggunakannya 🧒,4
app yg menarik n bagus,5
sangat cocok,5
sang baguu,4
baik,5
bagus mudah digunakan keren jg,5
sangat bagus,5
ok banget sangat membantu🫰,5
"Sebenar nya aplikasinya sangat bagus. Tapi sayang sekali, sangat lambat. Padahal internet stabil. Tapi canva ini lemot sekali",3
Aplikasi ini memang bagus tapi kekurangan aplikasi ini adalah sering ngeleg dan suka lemot,3
good,5
sangat cocok untuk pemula dan seru,5
bagus deh,5
aplikasi ini sangat membantu,5
Aplikasinya Bagus Tolong Tambahkan Font Eurostile & Interstate ke Canva tapi yang gratis ya jangan di Pro.,5
bagus,1
sangat bagus,1
"template nya bagus""",5
Busuk apk nya tp boong bagusekali wajib coba dan donglod,1
bagus bangat saya suka sekali karna saya belajar mengedit dan lain lainnya,5
Tandai apk jelek buat gw,2
good sih baru sadar wkwkwk,5
Sangkat. Membantu,1
𝑠𝑎𝑛𝑔𝑎𝑡 𝑚𝑒𝑚𝑏𝑎𝑛𝑡𝑢,5
keren,5
Apk nya sangat jaringan,2
Very good,5
"hapus background aja harus bayar, tapi bagus lah",2
Canva terbaik ..,5
mantap,5
Dilengkapi dengan fitur fitur yang sangat mudah di aplikasikan...,5
sangat bagus,5
bagus,5
semogsangat suka jd lebih bnyk karya,4
baguzz tapi banyak yg premium/ berbayar,3
baikkkkkkkkkk,5
terbaik,5
bagus banget,5
good,5
bagus bangett karena bisa berguna untuk pelajaran tpi ada yang aku gasuka ya ituu canva nya suka ngelagg,3
bagus,5
Bagus bgt,3
baik bagus bermanfaat,5
🔥🔥🔥,5
sangat baik,5
masa aku g bisa login akum belajar sih,1
"canva emang mantep dah..,❤👍👍",5
canva nya bagus sekali di simpan gratis pula,5
bagus,1
mantap,5
Gajelas banget jangan di donlod aplikasi aneh,1
mantap,5
good,5
sangat membantu,5
bagus,5
Cocok untuk di uninstal,2
TOP,5
Elemennya banyak yg gratis juga lucu-lucu. Saran sih bisa di mode offline,4
sangat membantu untuk usaha,5
terbaik,5
is the best,5
Aplikasi nya bagus banget bisa ngedit apapun aku suka 🙌🏻,5
bermanfaat,5
Veryy goodd bisa edit ap aj dsini,5
good,5
saya gk paket premuin knpa saldo dana saya di ambil?? gak jelas banget nih apk,1
😩✌️,5
Aplikasi ini sangat bermanfaat untuk saya sebagai pendidik dan mudah untuk digunakan,5
"Canva sangat membantu aku untuk mengerjakan tugas dari sekolah, dan template nya juga unik unik, bisa membuat logo, infografis, dll. Aku suka Canva👍",5
keren,5
"I think this is quite good for editing photos and so on, but there are several shortcomings that might not be a problem for me",5
"Canva aplikasi design yg sangat bagus dan mudah digunakan khususnya untuk para pemula, karena tersedia ribuan template menarik dan mudah editing",5
"Buat ngedit video sih bisa, tapi pas up ke yt gak bisa diputar aneh",1
sangat memudahkan bagi yang gaptek sekalioun,5
